Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
5/12/2020,79,2944650,75.26,79.35,74.5,1565540,165740,155
5/13/2020,78.87,2507730,79,79.77,76.3,2357420,1457676,102.1
5/14/2020,78.38,1397750,78.87,79,78.03,897660,183890,80.9
5/15/2020,76.85,2320230,78.38,78.73,75.88,1952520,2188900,-26.3
5/18/2020,77.06,898370,76.85,77.55,75.61,673880,690910,-1.9
5/19/2020,78.1,1432400,77.06,79.35,77.89,551050,647180,-10.9
5/20/2020,79.07,1199680,78.1,79.35,78.03,835010,377200,52.1
5/21/2020,79.77,1582090,79.07,79.77,78.73,1029740,450080,66.3
5/22/2020,79.35,1083060,79.77,79.77,78.73,666280,285610,43.6
5/25/2020,81.57,1581860,79.35,81.57,79.14,1006230,254820,87.4
5/26/2020,81.57,983170,81.57,81.85,79.91,622710,258490,42.8
5/27/2020,79.77,1108350,81.57,81.71,79.77,359730,304490,6.4
5/28/2020,79.63,1004500,79.77,80.46,79.63,547360,520300,3.1
5/29/2020,79.77,1203680,79.63,79.91,78.73,1265690,1062930,23.3
6/1/2020,80.53,1047020,79.77,81.15,79.84,774640,459750,36.7
6/2/2020,80.46,891910,80.53,81.15,80.25,631820,342420,33.7
6/3/2020,80.88,1322080,80.46,81.92,80.18,947590,610110,39.4
6/4/2020,81.71,735420,80.88,81.78,81.15,600720,264590,39.6
6/5/2020,82.68,1076470,81.71,82.68,80.95,602180,49790,65.4
6/8/2020,85.18,1419750,82.68,85.59,82.61,813510,280600,65.3
6/9/2020,86.7,1704320,85.18,87.4,85.39,612500,730160,-14.8
6/10/2020,85.32,1242180,86.7,87.4,85.18,817400,629630,23.6
6/11/2020,84.83,1098260,85.32,86.7,83.93,482970,318640,20.4
6/12/2020,81.85,2394330,84.83,84.83,79.49,505930,1590500,-127.4
6/15/2020,77.69,2058870,81.85,83.86,77.69,530210,1231360,-80.7
6/16/2020,81.15,844740,77.69,81.5,79.07,1184250,1218620,-3.9
6/17/2020,80.18,513570,81.15,81.29,80.04,159120,197990,-4.5
6/18/2020,79.91,523160,80.18,80.88,79.14,163720,271640,-12.4
6/19/2020,79.77,1251600,79.91,80.81,79.77,650300,1402140,-86.6
6/22/2020,80.04,867620,79.77,80.39,79.63,181390,471810,-33.5
6/23/2020,80.46,1063470,80.04,80.74,80.18,417850,735930,-36.9
6/24/2020,81.22,750960,80.46,82.13,80.74,239240,263250,-2.8
6/25/2020,80.74,572770,81.22,81.22,79.98,174880,329880,-17.9
6/26/2020,80.39,495750,80.74,81.22,80.04,50340,250550,-23.2
6/29/2020,78.63,1519040,80.39,80.39,77.37,228570,819450,-66.1
6/30/2020,79.2,797960,78.63,79.76,78.63,402030,367730,3.9
7/1/2020,80.6,450020,79.2,80.81,78.7,293660,70850,25.3
7/2/2020,79.41,720480,80.6,80.74,79.41,368160,421030,-6
7/3/2020,80.18,729290,79.41,80.25,79.27,554070,450820,11.8
7/6/2020,81.87,1319980,80.18,81.94,80.32,1409010,1118644,33.6
7/7/2020,81.52,1024960,81.87,82.29,81.52,542450,539050,0.4
7/8/2020,81.16,551310,81.52,81.52,81.16,625340,601500,2.8
7/9/2020,81.45,1560410,81.16,82.01,81.16,1034080,1012240,2.6
7/10/2020,81.02,677180,81.45,81.8,81.02,1211630,1273270,-7.1
7/13/2020,80.67,943850,81.02,81.38,80.32,489460,692490,-23.4
7/14/2020,80.95,731170,80.67,80.95,80.04,322800,284520,4.4
7/15/2020,81.52,1015000,80.95,82.22,81.52,1256380,1189650,7.8
7/16/2020,82.57,1112460,81.52,82.57,81.66,1025259,761689,30.6
7/17/2020,82.08,583510,82.57,82.57,81.87,408450,150940,30.1
7/20/2020,81.3,474700,82.08,82.08,81.16,554890,537420,2
7/21/2020,81.52,1618780,81.3,81.73,80.53,1478590,1775030,-34.1
7/22/2020,80.18,1051320,81.52,81.52,80.18,661350,1010430,-40.1
7/23/2020,80.25,766500,80.18,80.53,79.76,691560,779850,-10.1
7/24/2020,78.07,2313270,80.25,80.25,76.6,551470,902080,-39.3
7/27/2020,72.66,2553780,78.07,78.07,72.66,634850,1497990,-90.6
7/28/2020,77.23,1390810,72.66,77.23,73.08,908220,717750,20.4
7/29/2020,74.49,1497450,77.23,77.23,74.14,729140,687590,4.6
7/30/2020,76.6,1028620,74.49,76.95,75.05,926990,885440,4.6
7/31/2020,75.19,839830,76.6,76.74,74.84,636310,382790,27.5
8/3/2020,76.74,860190,75.19,77.3,75.68,284560,415360,-14.3
8/4/2020,78.21,765170,76.74,78.21,77.23,501300,493440,0.9
8/5/2020,78.78,888080,78.21,79.83,77.3,532930,702310,-19
8/6/2020,80.67,1360570,78.78,81.52,78.78,561650,185270,43.1
8/7/2020,81.16,1148200,80.67,81.52,80.67,707310,347700,41.5
8/10/2020,80.46,1412680,81.16,81.87,80.46,530010,822160,-33.8
8/11/2020,80.46,852250,80.46,80.81,80.11,1018950,1117860,-11.3
8/12/2020,81.23,1451960,80.46,81.45,80.46,859900,172550,79.4
8/13/2020,81.8,1238980,81.23,81.94,81.45,603990,218060,44.9
8/14/2020,82.01,1623690,81.8,82.92,81.66,253060,492920,-28.1
