Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
2020-12-04,93.37,1571130,93.80,93.97,93.20,437530,684230,-26.9
2020-12-07,94.23,1970400,93.37,95.00,93.20,647820,266990,41.9
2020-12-08,93.54,1468350,94.23,94.49,93.37,417000,633140,-23.6
2020-12-09,93.97,1701940,93.54,94.31,93.63,619820,411370,22.9
2020-12-10,95.94,6077770,93.97,97.57,94.49,1391190,754304,71.7
2020-12-11,96.46,2297940,95.94,96.63,95.77,1072250,963870,12.2
2020-12-14,97.14,2535300,96.46,97.14,96.28,869040,1191920,-36.3
2020-12-15,95.26,4572910,97.14,97.14,94.91,309790,2259920,-218.0
2020-12-16,95.60,2106480,95.26,96.20,94.83,747080,910730,-18.2
2020-12-17,94.57,2951870,95.60,95.60,94.49,565690,792330,-25.1
2020-12-18,94.57,3342900,94.57,95.08,94.23,1070650,2126650,-116.5
2020-12-21,95.08,2341080,94.57,95.43,94.40,486530,628430,-15.6
2020-12-22,94.14,2266760,95.08,95.08,94.06,282730,707390,-46.8
2020-12-23,94.40,2432590,94.14,95.43,94.14,598660,678913,-8.8
2020-12-24,93.11,2511360,94.40,94.66,92.51,180420,735190,-60.3
2020-12-25,93.37,1755510,93.11,93.46,92.60,47390,318770,-29.5
2020-12-28,93.11,2305300,93.37,93.97,92.77,145130,612840,-50.9
2020-12-29,93.54,1299700,93.11,93.71,93.03,169390,193860,-2.7
2020-12-30,93.20,1856600,93.54,94.40,93.03,886010,1297160,-43.5
2020-12-31,93.20,993810,93.20,94.14,93.20,58280,141500,-9.1
2021-01-04,93.63,2299600,93.20,94.06,93.37,335200,1081200,-81.5
2021-01-05,95.79,4013900,93.63,96.83,93.71,1134200,642200,54.3
2021-01-06,94.93,2823100,95.79,96.22,94.93,605400,450000,17.2
2021-01-07,95.44,2453000,94.93,95.79,94.93,414700,685800,-29.9
2021-01-08,96.83,3323000,95.44,97.61,95.88,385700,542400,-17.5
2021-01-11,100.20,4603900,96.83,100.29,97.26,642900,480200,18.5
2021-01-12,100.54,2344900,100.20,100.89,99.77,592100,425000,18.1
2021-01-13,98.99,2521600,100.54,101.32,98.73,534000,283100,29.2
2021-01-14,97.78,3680400,98.99,98.99,97.35,505400,1551000,-118.4
